new_tags,id
page type: article about event;language: French;canton: GE;,7154
page type: information page;language: French;canton: GE;,7311
page type: presentation page;language: German;university: VH;canton: LU;,8106
page type: article;language: German;university: PH LU;canton: LU;,8460
page type: presentation page;language: German;university: PH;canton: LU;special content 2: high schools;,8077
page type: presentation page;language: German;university: Soc;canton: LU;,5651
page type: article;language: German;university: UniLU;canton: LU;,6347
page type: article;language: German;university: UniLU;canton: LU;,8917
page type: article;language: German;university: UniLu;canton: LU;,8929
page type: event;university: UniLU;canton: LU;,9648
page type: media article;media 1: pdf;language: German;university: UniLU;canton: LU;special content 1: student paper;,8897
page type: media article;media 1: pdf;language: German;university: UniLU;canton: LU;special content 1: student paper;,8911
page type: presentation page;language: German;university: UniLU;canton: LU;,6345
page type: presentation page;language: German;university: UniLU;canton: LU;,7965
page type: information page;language: English;university: UniLU;canton: LU;special content 1: job;,8444
page type: information page;language: English;university: UniLU;canton: LU;,9380
page type: article;language: German;canton: LU;,8456
page type: article;language: German;canton: LU;,8709
page type: event;canton: LU;,9114
page type: presentation page;language: German;canton: LU;,3354
page type: presentation page;language: German;canton: LU;,8731
page type: article about event;language: English;canton: LU;special content 1: high schools;,9113
page type: article about event;language: German;canton: LU;special content 1: philExpo22;,5570
page type: article about event;language: German;canton: LU;,6457
page type: article about event;language: German;canton: LU;,9059
page type: article about event;language: German;canton: LU;,9060
page type: article about event;language: German;canton: LU;,9061
page type: information page;language: German;canton: LU;,6313
page type: presentation page;language: French;university: SoC;canton: NE;,5282
page type: event;university: UniNE;canton: NE;,9141
page type: event;university: UniNE;canton: NE;,9142
page type: event;university: UniNE;canton: NE;,9143
page type: event;university: UniNE;canton: NE;,9144
page type: event;university: UniNE;canton: NE;,9145
page type: event;university: UniNE;canton: NE;,9146
page type: event;university: UniNE;canton: NE;,9147
page type: event;university: UniNE;canton: NE;,9148
page type: event;university: UniNE;canton: NE;,9149
page type: event;university: UniNE;canton: NE;,9150
page type: event;university: UniNE;canton: NE;,9151
page type: event;university: UniNE;canton: NE;,9152
page type: event;university: UniNE;canton: NE;,9153
page type: event;university: UniNE;canton: NE;,9593
page type: presentation page;language: French;university: UniNE;canton: NE;,7222
page type: presentation page;language: French;university: UniNE;canton: NE;,7968
page type: article about event;language: English;university: UniNE;canton: NE;,8853
page type: information page;language: English;university: UniNE;canton: NE;special content 1: job;,8447
page type: information page;language: English;university: UniNE;canton: NE;special content 1: job;,8449
page type: information page;language: English;university: UniNE;canton: NE;special content 1: job;,9156
page type: information page;language: English;university: UniNE;canton: NE;,9155
page type: information page;language: French;university: UniNE;canton: NE;,7227
page type: information page;language: French;university: UniNE;canton: NE;,7666
page type: portal page;language: English;canton: NE;special content 1: site map;,8855
page type: article about event;language: French;canton: NE;special content 1: philExpo22;,7615
page type: article about event;language: French;canton: NE;special content 1: philExpo22;special content 2: our event;,7636
page type: article about event;language: French;canton: NE;,7315
page type: article about event;language: French;canton: NE;,7316
page type: article about event;language: French;canton: NE;,7317
page type: article about event;language: French;canton: NE;,7319
page type: article about event;language: French;canton: NE;,7326
page type: information page;language: French;canton: NE;,8549
page type: presentation page;language: German;university: PH;canton: SG;special content 1: high schools;,6434
page type: presentation page;language: German;university: Soc;canton: SG;,5641
page type: event;university: UniSG;canton: SG;,9606
page type: event;university: UniSG;canton: SG;,9608
page type: presentation page;language: German;university: UniSG;canton: SG;,6462
page type: article about event;language: German;university: UniSG;canton: SG;,9604
page type: article about event;language: German;university: UniSG;canton: SG;,9605
page type: article;language: German;canton: SG;,6292
page type: event;canton: SG;,9556
page type: event;canton: SG;,9557
page type: article about event;language: German;canton: SG;special content 1: Agora;special content 2: our event;,9009
page type: article about event;language: German;canton: SG;,4363
page type: presentation page;language: Italian;university: Cafe;canton: TI;,8009
page type: presentation page;language: Italian;university: Cafe;canton: TI;,8010
page type: presentation page;language: Italian;university: PH;canton: TI;special content 1: high schools;,7976
page type: presentation page;language: Italian;university: Soc;canton: TI;,5653
page type: event;university: USI;canton: TI;,9105
page type: event;university: USI;canton: TI;,9106
page type: event;university: USI;canton: TI;,9107
page type: event;university: USI;canton: TI;,9108
page type: event;university: USI;canton: TI;,9109
page type: event;university: USI;canton: TI;,9110
page type: event;university: USI;canton: TI;,9164
page type: event;university: USI;canton: TI;,9497
page type: event;university: USI;canton: TI;,9533
page type: event;university: USI;canton: TI;,9559
page type: event;university: USI;canton: TI;,9560
page type: event;university: USI;canton: TI;,9561
page type: event;university: USI;canton: TI;,9562
page type: event;university: USI;canton: TI;,9563
page type: event;university: USI;canton: TI;,9564
page type: event;university: USI;canton: TI;,9565
page type: event;university: USI;canton: TI;,9566
